Node1_T,Node2,Mutual_Rank
PGK_(AT1G56190),GAPA_(AT3G26650),0.000001
PGK_(AT1G56190),GAPA-2_(AT1G12900),0.000001
PGK_(AT1G56190),GAPAB_(AT1G42970),0.000001
PGK_(AT1G56190),GAPC1_(AT3G04120),0.000001
PGK_(AT1G56190),HCEF1_(AT3G54050),0.000001
PGK_(AT1G56190),PGK_(AT1G56190),1
PGK_(AT1G56190),PGK_(AT1G79550),0.000001
PGK_(AT1G56190),PGK1_(AT3G12780),0.17090627
PGK_(AT1G56190),PRK_(AT1G32060),0.000001
PGK_(AT1G56190),RBCS1A_(AT1G67090),0.000001
PGK_(AT1G56190),RBCS1B_(AT5G38430),0.000001
PGK_(AT1G56190),RBCS2B_(AT5G38420),0.000001
PGK_(AT1G56190),RBCS3B_(AT5G38410),0.000001
PGK_(AT1G56190),SBPASE_(AT3G55800),0.000001
PGK_(AT1G56190),TKTB_(AT3G60750),0.280416298
PGK_(AT1G79550),EMB3119_(AT3G04790),0.000001
PGK_(AT1G79550),FBA1_(AT2G21330),0.000001
PGK_(AT1G79550),FBA2_(AT4G38970),0.000001
PGK_(AT1G79550),FBA8_(AAT3G52930),0.727777434
PGK_(AT1G79550),FBP_(AT5G64380),0.000001
PGK_(AT1G79550),GAPA_(AT3G26650),0.000001
PGK_(AT1G79550),GAPA-2_(AT1G12900),0.000001
PGK_(AT1G79550),GAPAB_(AT1G42970),0.000001
PGK_(AT1G79550),GAPC1_(AT3G04120),0.309759218
PGK_(AT1G79550),HCEF1_(AT3G54050),0.000001
PGK_(AT1G79550),PGK_(AT1G56190),0.000001
PGK_(AT1G79550),PGK_(AT1G79550),1
PGK_(AT1G79550),PGK1_(AT3G12780),0.000001
PGK_(AT1G79550),PRK_(AT1G32060),0.000001
PGK_(AT1G79550),RBCS1A_(AT1G67090),0.000001
PGK_(AT1G79550),RBCS1B_(AT5G38430),0.000001
PGK_(AT1G79550),RBCS2B_(AT5G38420),0.000001
